#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260904    22:26:26       0     69     28     36      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:26:26       1    170     35     42     43      9      0      0      0      0   2619   1980  10131  10132      0 
 20260904    22:26:31       0     69     28     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:26:31       1    158     35     41     44      9      0      0      0      0   2619   1980  10131  10132      0 
 20260904    22:26:36       0     69     28     36      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:26:36       1    159     35     42     44      9      0      0      0      0   2619   1980  10131  10132      0 
 20260904    22:26:41       0     69     28     36      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:26:41       1    161     35     42     44      9      0      0      0      0   2619   1980  10131  10132      0 
 20260904    22:26:46       0     69     28     36      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:26:46       1    158     35     41     44      9      0      0      0      0   2619   1980  10211  10212      0 
 20260904    22:26:51       0     69     28     36      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:26:51       1    160     35     43     44      9      0      0      0      0   2619   1980  10211  10212      0 
 20260904    22:26:56       0     69     28     36      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:26:56       1    176     35     42     44      9      0      0      0      0   2619   1980  10211  10212      0 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260904    22:27:01       0     69     28     36      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:27:01       1    159     35     42     44      9      0      0      0      0   2619   1980  10211  10212      0 
 20260904    22:27:06       0     69     28     35      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:27:06       1    158     35     41     44      9      0      0      0      0   2619   1980  10211  10212      0 
 20260904    22:27:11       0     69     28     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:27:11       1    162     35     41     44      9      0      0      0      0   2619   1980  10211  10212      0 
 20260904    22:27:16       0     69     28     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:27:16       1    177     35     42     44      9      0      0      0      0   2619   1980  10213  10214      0 
 20260904    22:27:21       0     69     28     36      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:27:21       1    160     35     41     44      9      0      0      0      0   2619   1980  10213  10214      0 
 20260904    22:27:26       0     69     28     36      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:27:26       1    161     35     42     44      9      0      0      0      0   2619   1980  10213  10214      0 
 20260904    22:27:31       0     69     28     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:27:31       1    177     35     41     74     19      0      0      0      0   2619   1980  10213  10214      0 
 20260904    22:27:36       0     69     28     36      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:27:36       1    158     35     42     43      9      0      0      0      0   2619   1980  10213  10214      0 
 20260904    22:27:41       0     69     28     36      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:27:41       1    159     35     42     44      9      0      0      0      0   2619   1980  10213  10214      0 
 20260904    22:27:46       0     69     28     37      0      0      0      0      0      0   2619    345      0      1      0 
