set,position,x,y,cos
neutral,2,D_math_full,B,0.060568347573280334
neutral,2,D_math_full,A_early@30,0.3593437969684601
neutral,2,D_math_full,A_early@2,0.06095550209283829
neutral,2,D_math_full,A@25,0.2356044352054596
neutral,2,D_math_full,B@25,0.031005188822746277
neutral,2,D_math_full,A@50,0.22880390286445618
neutral,2,D_math_full,B@50,0.10875573754310608
neutral,2,D_math_full,A@75,0.24252955615520477
neutral,2,D_math_full,B@75,0.021372327581048012
neutral,2,D_math_full,A@100,0.23994633555412292
neutral,2,D_math_full,B@100,0.0680805966258049
neutral,2,D_math_full,A@125,0.26454517245292664
neutral,2,D_math_full,B@125,0.02428411692380905
neutral,2,D_math_full,N1_halves,-0.0914788469672203
neutral,2,N3,A,-0.0011555470991879702
neutral,2,N3,B,0.24016137421131134
neutral,2,N3,A_early@30,0.15569384396076202
neutral,2,N3,A_early@2,0.3422493636608124
neutral,2,N3,A@25,-0.04441895708441734
neutral,2,N3,B@25,0.24713370203971863
neutral,2,N3,A@50,-0.015812769532203674
neutral,2,N3,B@50,0.26139429211616516
neutral,2,N3,A@75,0.0030651502311229706
neutral,2,N3,B@75,0.273138165473938
neutral,2,N3,A@100,-0.012888303957879543
neutral,2,N3,B@100,0.2698241174221039
neutral,2,N3,A@125,0.012988241389393806
neutral,2,N3,B@125,0.227833554148674
neutral,2,N3,N1_halves,-0.05325448140501976
neutral,2,A,B,-0.14020560681819916
neutral,2,A,A_early@30,0.49620380997657776
neutral,2,A,A_early@2,0.2074272334575653
neutral,2,A,A@25,0.8298152685165405
neutral,2,A,B@25,-0.0970582515001297
neutral,2,A,A@50,0.9222419857978821
neutral,2,A,B@50,-0.051117975264787674
neutral,2,A,A@75,0.958711564540863
neutral,2,A,B@75,-0.12677951157093048
neutral,2,A,A@100,0.9776658415794373
neutral,2,A,B@100,-0.12548337876796722
neutral,2,A,A@125,0.9782888293266296
neutral,2,A,B@125,-0.15551133453845978
